Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",5.728317453041718,0.6443003540363595,5.00338998441494,0.3178800358904488,13198,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",5.7733058953492185,0.5405753412528331,5.00344093472932,0.31924621626955235,8664,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",5.696836659108556,0.7836331454409063,4.998595543199637,0.3216797053148533,68620,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",5.74250530307867,0.7573533160719395,5.011474054207899,0.3223861131750735,98687,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",5.729436212264607,0.6372244762455822,4.9966644971818654,0.3251431951699639,75914,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",5.705377951099921,0.7136609346054323,4.999692906508966,0.31315616084375436,93701,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",5.67101368409312,0.8782061782949488,4.999868831237736,0.3235782227581765,49557,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",5.547940844731819,1.23660573007832,4.984704846012774,0.319410562044727,69008,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",5.757714573529921,0.7552502854420545,5.0283739381883334,0.31000827133765707,48764,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",5.726548667559059,0.7836604254073176,4.999040747965098,0.31985070982377345,41354,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",5.685236757813366,0.7949747765592429,4.981069455067917,0.31881630167515385,51576,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",5.563552295477931,1.1682489179263473,4.999487038904579,0.31994148714613097,27449,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",5.699159818621139,0.7963826231018403,5.009035897983542,0.30830557468197073,16068,4,6
"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]",5.5723479291879565,1.0901715622445671,4.96446268446346,0.31657854780414435,92053,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 0]",5.5691370203167505,1.1904780521806824,5.008574642360257,0.2958408154033656,83152,5,5
"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",5.441548461403268,1.4108764897221184,5.011987897384938,0.3303163541118867,79444,6,4
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",5.725921472190687,0.7047492428240918,5.007414703418892,0.3149736513079221,21615,3,7
"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1]",5.6037111373599595,0.9753157578788952,4.99961229504426,0.31910179289141083,84689,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",5.607826778037807,1.054556717875406,5.0121049908024675,0.32922505985694356,30545,4,6
"[1, 1, 0, 0, 0, 1, 0, 0, 1, 1]",5.545499712389536,1.2501063102006753,5.0150852368568035,0.3178817553865606,86659,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]",5.7264733127268395,0.8051502887926606,5.016237461364673,0.32559280016473313,36051,4,6
"[1, 1, 0, 0, 0, 1, 0, 1, 0, 1]",5.505600569158969,1.182219604294263,4.98063599406567,0.3216870897421589,93025,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0]",5.560012267944761,1.177834754262678,4.9989435399747375,0.309518081021863,84470,5,5
"[1, 1, 0, 0, 0, 1, 0, 1, 1, 1]",5.295899663471407,1.6080979777018827,5.001918183560129,0.32683742817145056,39489,6,4
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 0]",5.6014088711135965,0.9272278778558086,4.9840818180162,0.3371469852062235,6732,4,6
"[1, 1, 0, 0, 0, 1, 1, 0, 0, 1]",5.6000644300758635,1.071979511739717,5.004126460302284,0.31687296643119606,23587,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 0]",5.575286601271575,1.0952468335785586,4.988011583612565,0.3251272975215558,61210,5,5
"[1, 1, 0, 0, 0, 1, 1, 0, 1, 1]",5.389707648967921,1.5201576477929626,5.030892680276868,0.30817567864897133,31245,6,4
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",5.500002492953841,1.2267970717943268,4.98579630474809,0.31375497800778973,7243,5,5
"[1, 1, 0, 0, 0, 1, 1, 1, 0, 1]",5.449452949275881,1.4725931721752388,4.995397115230534,0.29861979085667073,21360,6,4
