Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",9.719293640489882,2.3433935431751345,7.375900097314748,6.485572462649375,1.2927874665364336,21275,2,8
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",9.597263842037055,2.7107509996969283,6.886512842340126,6.364165581401906,1.2315222172166356,38648,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",9.621798761334437,2.451830764012205,7.1699679973222326,6.4033323106321625,1.2920636066098694,53206,3,7
"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1]",9.538762141764531,2.7255552288023437,6.813206912962187,6.5010369803078785,1.2452353798536877,69072,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",9.706955290967857,2.44933839438901,7.257616896578847,6.45210903717113,1.2428271417016192,22204,3,7
"[1, 1, 0, 0, 0, 0, 0, 1, 0, 1]",9.301278946420977,2.9271334461980087,6.374145500222968,6.398755411822883,1.2701338458966598,47942,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0]",9.626701974866249,2.5266418196821028,7.100060155184146,6.3472709357884485,1.1493122371937188,49055,4,6
"[1, 1, 0, 0, 0, 0, 0, 1, 1, 1]",9.295368623758876,3.0966894345646305,6.1986791891942445,6.41447066507173,1.169318881712133,99757,5,5
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",9.86290320169444,2.3293350956190846,7.533568106075355,6.493779864081565,1.3096684667509186,37606,3,7
"[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",9.471536475295938,2.666680485963878,6.80485598933206,6.423683640580894,1.2577285102038684,51676,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",9.408160319955655,2.8468102126808676,6.561350107274787,6.416881539307564,1.232726373904849,67062,4,6
"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",9.32174289702173,2.993135949466944,6.328606947554786,6.373358647251767,1.3251573288527432,63527,5,5
