Genome,Ave_fit,Std_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 1, 0, 0, 0]",7.37467548479702,3.8066076855440953,6.306311875630821,1.5961295714305006,47485,2,3
"[1, 1, 0, 0, 1]",6.376445003855863,4.916685243055358,6.462426742877963,1.5306874416753435,13421,3,2
"[1, 1, 0, 1, 0]",7.105589374534994,4.826971609439454,6.788373595386897,1.8719427168777663,32530,3,2
"[1, 1, 0, 1, 1]",5.159761461100535,5.222051356332588,6.467666687796311,1.5172886163285786,2310,4,1
"[1, 1, 1, 0, 0]",6.231994439195843,5.037081873901124,6.340078535365478,1.7664127647428869,76150,3,2
"[1, 1, 1, 0, 1]",4.227605868921638,5.102092891291547,6.273287798818761,1.7844827637106384,57916,4,1
"[1, 1, 1, 1, 0]",5.028734430829496,5.0097988276540315,6.2853413156001325,1.7452002548372236,62212,4,1
"[1, 1, 1, 1, 1]",0.0,0.0,6.460189500493488,1.8494995067241522,82357,5,0
"[1, 0, 0, 0, 0]",7.876034760661932,3.284109739129329,6.458414510173198,1.6339448755951693,85554,1,4
"[1, 0, 0, 0, 1]",7.617624000905416,3.9749388229893787,6.584032800557459,1.6766279206347756,4619,2,3
"[1, 0, 0, 1, 0]",7.721574801962323,4.437121425838416,6.814372781285313,1.9804835296144838,92894,2,3
"[1, 0, 0, 1, 1]",6.450847158690733,4.976988593401299,6.189703775012491,1.7277878933719968,63922,3,2
"[1, 0, 1, 0, 0]",7.281137371981548,5.005291757702665,6.51830954912162,1.6849793857425728,44450,2,3
"[1, 0, 1, 0, 1]",6.836464917588716,5.011728386726359,6.388310269560724,1.8027038891157825,47896,3,2
"[1, 0, 1, 1, 0]",5.954383748763934,5.024540947048564,6.367582391411597,1.921851191749128,2029,3,2
"[1, 0, 1, 1, 1]",4.095221262146585,4.520417792349815,6.557405315934568,1.624457263375921,57269,4,1
